Word1,Word2,Similarity Score( Similarity score from word2vec*10),Ground Truth similarity score,"Label(0 for dissimilar, 1 for similar)"
मोहब्बत,सेक्स,4.5561206340789795,6.8,0
बाघ,बिल्ली,6.995612382888794,7.0,0
किताब,कागज़,6.16740882396698,7.6,0
कंप्यूटर,कीबोर्ड,7.387561798095703,7.6,1
कंप्यूटर,इंटरनेट,8.132941126823425,8.0,1
विमान,कार,7.317672371864319,6.0,1
रेलगाड़ी,कार,7.450867295265198,6.2,1
टेलीफोन,संचार,6.053941249847412,7.6,0
टेलीविजन,रेडियो,8.331559300422668,6.4,1
मीडिया,रेडियो,6.608157753944397,5.8,0
ब्रेड,मक्खन,7.836548686027527,6.6,1
खीरा,आलू,8.782092928886414,5.8,1
चिकित्सक,नर्स,7.488390207290649,7.6,1
प्रोफ़ेसर,चिकित्सक,5.749286413192749,4.6,0
छात्र,प्रोफ़ेसर,5.532458424568176,7.0,0
होशियार,छात्र,5.035465955734253,5.2,0
होशियार,बेवकूफ,6.357783079147339,6.2,0
किताब,पुस्तकालय,5.051687955856323,7.6,0
बैंक,पैसे,6.151034235954285,8.0,0
लकड़ी,जंगल,6.185673475265503,7.0,0
प्रोफ़ेसर,खीरा,0.7584115862846375,0.0,0
राजा,रानी,7.287682294845581,8.2,1
बिशप,रबी,0.5780582502484322,7.0,0
यरूशलेम,इजराइल,5.906176567077637,7.8,0
पवित्र,सेक्स,2.598040997982025,1.0,0
माराडोना,फ़ुटबॉल,8.15798819065094,7.8,1
फ़ुटबॉल,सॉकर,8.859202265739441,9.0,1
फ़ुटबॉल,बास्केटबाल,7.552269697189331,6.4,1
फ़ुटबॉल,टेनिस,8.141264915466309,5.8,1
टेनिस,रैकेट,5.473046898841858,7.4,0
कानून,वकील,5.8147889375686646,7.8,0
चलचित्र,पॉपकॉर्न,3.776335120201111,6.6,0
चलचित्र,आलोचक,4.107887148857117,6.6,0
चलचित्र,थिएटर,6.0516357421875,8.4,0
पीना,कार,2.7156099677085876,1.4,0
पीना,कान,4.698448181152344,0.4,0
पीना,मुंह,5.286826491355896,7.0,0
बच्चा,मां,6.127400994300842,7.2,0
पीना,मां,3.8894087076187134,1.8,0
मणि,गहना,4.162649214267731,6.8,0
भट्ठी,स्टोव,7.859680652618408,8.4,1
भोजन,फल,7.075401544570923,6.6,1
पक्षी,सारस,8.990167379379272,7.4,1
भाई,साधु,4.486233592033386,1.4,0
यात्रा,कार,5.377228856086731,6.2,0
साधु,गुलाम,3.432703912258148,0.2,0
कांच,जादूगर,4.55671101808548,2.0,0
पैसे,मुद्रा,5.651423335075378,8.6,0
पैसे,धन,7.1551841497421265,9.2,1
पैसे,संपत्ति,6.420890688896179,8.4,0
पैसे,बैंक,6.151034235954285,8.2,0
पैसे,जमा,6.218357086181641,6.6,0
पैसे,ऑपरेशन,3.837069869041443,2.6,0
बाघ,जैगुआर,4.950258433818817,8.0,0
बाघ,जानवर,7.793151140213013,7.6,1
बाघ,चिड़ियाघर,7.320681214332581,6.8,1
मनोविज्ञान,चिंता,4.206216335296631,6.2,0
मनोविज्ञान,डर,2.8740522265434265,5.2,0
मनोविज्ञान,डिप्रेशन,5.141923427581787,7.0,0
मनोविज्ञान,क्लिनिक,5.18187940120697,6.4,0
मनोविज्ञान,चिकित्सक,6.0052889585494995,7.0,0
मनोविज्ञान,मन,4.590187966823578,7.4,0
मनोविज्ञान,स्वास्थ्य,5.584522485733032,6.2,0
मनोविज्ञान,विज्ञान,8.348416686058044,7.0,1
मनोविज्ञान,अनुशासन,6.81334912776947,4.2,0
Accuracy : ,53.84615384615385,,,
