Word1,Word2,Similarity Score( Similarity score from word2vec*10),Ground Truth similarity score,"Label(0 for dissimilar, 1 for similar)"
मोहब्बत,सेक्स,3.480145553775275,6.8,0
बाघ,बिल्ली,5.456492759773398,7.0,1
किताब,कागज़,5.772483683253553,7.6,1
कंप्यूटर,कीबोर्ड,5.557799396620197,7.6,1
कंप्यूटर,इंटरनेट,6.982660767421116,8.0,1
विमान,कार,6.010701311512701,6.0,1
रेलगाड़ी,कार,5.693607316364025,6.2,1
टेलीफोन,संचार,5.599376998623901,7.6,1
टेलीविजन,रेडियो,6.654107970125888,6.4,1
मीडिया,रेडियो,5.226255659627412,5.8,1
ब्रेड,मक्खन,6.223899680544393,6.6,1
खीरा,आलू,5.697427985003492,5.8,1
चिकित्सक,नर्स,6.946243071744398,7.6,1
प्रोफ़ेसर,चिकित्सक,4.23055893992357,4.6,1
छात्र,प्रोफ़ेसर,4.828631470650285,7.0,1
होशियार,छात्र,3.8951637074241803,5.2,0
होशियार,बेवकूफ,5.703295367051461,6.2,1
किताब,पुस्तकालय,4.463667521211675,7.6,1
बैंक,पैसे,5.727216587830005,8.0,1
लकड़ी,जंगल,5.66105934626541,7.0,1
प्रोफ़ेसर,खीरा,-0.9180405557172079,0.0,0
राजा,रानी,6.560090132816447,8.2,1
बिशप,रबी,0.7509658694115694,7.0,0
यरूशलेम,इजराइल,4.483538593202817,7.8,1
पवित्र,सेक्स,3.076158648935881,1.0,0
माराडोना,फ़ुटबॉल,4.155328426164095,7.8,1
फ़ुटबॉल,सॉकर,6.615199562626906,9.0,1
फ़ुटबॉल,बास्केटबाल,4.650058140679492,6.4,1
फ़ुटबॉल,टेनिस,5.496612360726071,5.8,1
टेनिस,रैकेट,4.362918463622096,7.4,1
कानून,वकील,5.8145127582803635,7.8,1
चलचित्र,पॉपकॉर्न,2.83280282415968,6.6,0
चलचित्र,आलोचक,2.4103499418425893,6.6,0
चलचित्र,थिएटर,3.2928420521036705,8.4,0
पीना,कार,2.4717386074878145,1.4,0
पीना,कान,2.940760044602511,0.4,0
पीना,मुंह,4.827905768592519,7.0,1
बच्चा,मां,6.5948181062628395,7.2,1
पीना,मां,3.1777251252040757,1.8,0
मणि,गहना,2.945953189950714,6.8,0
भट्ठी,स्टोव,4.847415327495833,8.4,1
भोजन,फल,6.6710387057382095,6.6,1
पक्षी,सारस,6.895947970503132,7.4,1
भाई,साधु,3.979345076266249,1.4,0
यात्रा,कार,5.04565004630532,6.2,1
साधु,गुलाम,2.054245560257942,0.2,0
कांच,जादूगर,2.2292475963852807,2.0,0
पैसे,मुद्रा,4.957973518525213,8.6,1
पैसे,धन,7.046532768580912,9.2,1
पैसे,संपत्ति,6.021394869574789,8.4,1
पैसे,बैंक,5.727216587830005,8.2,1
पैसे,जमा,6.2972559918607605,6.6,1
पैसे,ऑपरेशन,3.440611757357839,2.6,0
बाघ,जैगुआर,2.7995894769002554,8.0,0
बाघ,जानवर,7.211980220734992,7.6,1
बाघ,चिड़ियाघर,5.449349661662159,6.8,1
मनोविज्ञान,चिंता,3.234600471145072,6.2,0
मनोविज्ञान,डर,2.49506540131516,5.2,0
मनोविज्ञान,डिप्रेशन,3.333206888498893,7.0,0
मनोविज्ञान,क्लिनिक,3.3333522632918173,6.4,0
मनोविज्ञान,चिकित्सक,4.88069054726261,7.0,1
मनोविज्ञान,मन,3.659041887504645,7.4,0
मनोविज्ञान,स्वास्थ्य,5.156012645099256,6.2,1
मनोविज्ञान,विज्ञान,7.450683205393636,7.0,1
मनोविज्ञान,अनुशासन,5.041249928481309,4.2,1
Accuracy : ,80.0,,,
