Word1,Word2,Similarity Score( Similarity score from word2vec*10),Ground Truth similarity score,"Label(0 for dissimilar, 1 for similar)"
मोहब्बत,सेक्स,3.3713990449905396,6.8,0
बाघ,बिल्ली,6.4748722314834595,7.0,0
किताब,कागज़,5.339189171791077,7.6,0
कंप्यूटर,कीबोर्ड,6.908113956451416,7.6,0
कंप्यूटर,इंटरनेट,7.11635947227478,8.0,0
विमान,कार,6.274393796920776,6.0,0
रेलगाड़ी,कार,6.108958721160889,6.2,0
टेलीफोन,संचार,5.805760025978088,7.6,0
टेलीविजन,रेडियो,7.580018043518066,6.4,0
मीडिया,रेडियो,5.306770205497742,5.8,0
ब्रेड,मक्खन,7.221522927284241,6.6,0
खीरा,आलू,8.323273062705994,5.8,1
चिकित्सक,नर्स,7.003461122512817,7.6,0
प्रोफ़ेसर,चिकित्सक,5.450974702835083,4.6,0
छात्र,प्रोफ़ेसर,5.0607311725616455,7.0,0
होशियार,छात्र,3.81512850522995,5.2,0
होशियार,बेवकूफ,5.9304893016815186,6.2,0
किताब,पुस्तकालय,4.70384955406189,7.6,0
बैंक,पैसे,4.910287857055664,8.0,0
लकड़ी,जंगल,5.466519594192505,7.0,0
प्रोफ़ेसर,खीरा,1.2081574648618698,0.0,0
राजा,रानी,7.052774429321289,8.2,0
बिशप,रबी,1.4684350788593292,7.0,0
यरूशलेम,इजराइल,5.2671217918396,7.8,0
पवित्र,सेक्स,2.6205983757972717,1.0,0
माराडोना,फ़ुटबॉल,6.9023507833480835,7.8,0
फ़ुटबॉल,सॉकर,8.435312509536743,9.0,1
फ़ुटबॉल,बास्केटबाल,7.39075779914856,6.4,0
फ़ुटबॉल,टेनिस,7.513461112976074,5.8,0
टेनिस,रैकेट,5.26386559009552,7.4,0
कानून,वकील,4.935620427131653,7.8,0
चलचित्र,पॉपकॉर्न,4.097071290016174,6.6,0
चलचित्र,आलोचक,2.9972130060195923,6.6,0
चलचित्र,थिएटर,5.001434087753296,8.4,0
पीना,कार,3.183184862136841,1.4,0
पीना,कान,3.3919185400009155,0.4,0
पीना,मुंह,4.137030839920044,7.0,0
बच्चा,मां,5.511191487312317,7.2,0
पीना,मां,2.791302800178528,1.8,0
मणि,गहना,4.018123745918274,6.8,0
भट्ठी,स्टोव,7.022818326950073,8.4,0
भोजन,फल,5.981048941612244,6.6,0
पक्षी,सारस,8.535008430480957,7.4,1
भाई,साधु,2.832368016242981,1.4,0
यात्रा,कार,4.197636544704437,6.2,0
साधु,गुलाम,2.477138936519623,0.2,0
कांच,जादूगर,3.681829273700714,2.0,0
पैसे,मुद्रा,4.150247871875763,8.6,0
पैसे,धन,5.870890021324158,9.2,0
पैसे,संपत्ति,5.078940987586975,8.4,0
पैसे,बैंक,4.910287857055664,8.2,0
पैसे,जमा,4.823822379112244,6.6,0
पैसे,ऑपरेशन,3.3885908126831055,2.6,0
बाघ,जैगुआर,4.780786037445068,8.0,0
बाघ,जानवर,7.225027680397034,7.6,0
बाघ,चिड़ियाघर,7.051327228546143,6.8,0
मनोविज्ञान,चिंता,3.4812647104263306,6.2,0
मनोविज्ञान,डर,2.02025443315506,5.2,0
मनोविज्ञान,डिप्रेशन,4.415682256221771,7.0,0
मनोविज्ञान,क्लिनिक,4.649744629859924,6.4,0
मनोविज्ञान,चिकित्सक,5.237498879432678,7.0,0
मनोविज्ञान,मन,3.9057722687721252,7.4,0
मनोविज्ञान,स्वास्थ्य,5.233972072601318,6.2,0
मनोविज्ञान,विज्ञान,8.076862692832947,7.0,1
मनोविज्ञान,अनुशासन,5.243754982948303,4.2,0
Accuracy : ,80.0,,,
